Country;Year;Homicide;Inequality;GDP per capita (constant 2010 US$);Lower secondary completion rate, total (% of relevant age group);Research and development expenditure (% of GDP);School enrollment,  tertiary (% gross);Unemployment, total (% of total labor force) (national estimate);Urban population (% of total population);Unsentenced;Police personel
Turkey;2006;4.607543669;0.432;10340.0717;90.47634125;0.55749;36.6;8.720000267;68.45;62.45533371;473.75
Turkey;2007;5.172325532;0.43;10732.78741;92.96333313;0.69182;38.5;8.869999886;69.053;58.15919495;483.3
Turkey;2008;4.625197668;0.442;10691.68943;96.58486938;0.69292;39.9;9.710000038;69.651;55.96654892;488.1
Turkey;2009;5.176566486;0.435;10047.20357;93.27037811;0.8094;46.2;12.55000019;70.241;32.57246399;516.16
Turkey;2010;4.236316091;0.433;10742.43007;101.8682404;0.79892;56;10.65999985;70.825;27.40985489;513.61
Turkey;2011;4.167843653;0.428;11763.93516;96.11074829;0.79988;60.7;8.800000191;71.402;27.77089119;504.54
Turkey;2012;4.308044123;0.421;12127.58618;95.32122803;0.83217;69.3;8.149999619;71.974;22.86479568;506.26
Turkey;2013;;0.412;12935.6872;94.67233276;0.81821;79;8.729999542;72.531;19.50617027;
Turkey;2014;;0.419;13345.5911;96.86766052;0.86077;86.3;9.880000114;73.077;13.99394989;
Turkey;2015;2.846067371;0.426;13923.68289;94.90615845;0.8815;94.7;10.23999977;73.611;14.62693691;
Turkey;2016;3.33843314;0.419;14153.4629;;0.94464;;10.84000015;74.134;;
Turkey;2017;3.085687267;0.43;14975.08728;87.50611877;0.96105;;10.81999969;74.644;;
Uganda;2003;8.221535905;0.428;611.0479941;19.14423943;0.25612;3.796380043;3.599999905;16.061;61.51960373;
Uganda;2004;7.639450735;;632.1855825;18.95763016;0.26056;3.668989897;;16.507;60.15418625;
Uganda;2005;9.001397528;0.4294474;651.2573466;;0.21514;;1.899999976;16.96;60.47354507;
Uganda;2006;9.435984667;;699.0978263;20.77218056;0.30033;3.574219942;;17.425;58.97529221;
Uganda;2007;8.9702569;;734.3935205;22.57990074;0.38821;;;17.899;58.40909958;
Uganda;2008;9.177919339;;773.5483389;23.9428196;0.32632;3.888099909;;18.384;55.89226532;124.87
Uganda;2009;10.29254121;0.4419556;800.4026508;25.42012024;0.35331;4.320330143;3.599999905;18.878;55.18558121;110.95
Uganda;2010;9.744615822;;819.0073159;27.99541092;0.47556;4.063210011;;19.383;55.60998917;115.79
Uganda;2011;11.21075831;;867.8584481;27.10889053;;4.55328989;;19.898;51.49120712;114.01
Uganda;2012;11.76548886;0.4100997;872.9414914;25.75736046;;3.91012001;3.549999952;20.424;53.81119919;126.36
Uganda;2013;10.80558054;0.4;875.4732809;29.68144035;;;1.909999967;20.958;55.07480621;116.43
Uganda;2014;12.1181647;;889.841662;30.05451012;0.17043;4.836639881;;21.504;54.18616104;122.07
Uganda;2015;;;903.8472315;;;;;22.06;51.70999908;
Uganda;2016;11.30414498;0.419;913.0915833;28.86174011;;;;22.624;;
Uganda;2017;11.50204627;;912.9865632;26.42557907;;;9.43999958;23.196;;
Ukraine;2003;8.492624688;0.268;2353.604368;105.0823593;1.11287;60.84936142;9.06000042;67.427;13.04636574;266.32
Ukraine;2004;7.384975512;0.2893402;2658.688636;102.4152985;1.08258;65.71183014;8.590000153;67.597;11.90854359;270.69
Ukraine;2005;6.46182538;0.2902071;2758.518075;103.4621887;1.03197;70.30892181;7.179999828;67.79;11.20855618;349.69
Ukraine;2006;6.346632059;0.2979439;2983.854155;99.72619629;0.95;75.3947525;6.809999943;67.969;11.5868721;358.13
Ukraine;2007;5.706725182;0.2701269;3229.65318;98.88372803;0.85403;78.89259338;6.349999905;68.147;12.30275917;
Ukraine;2008;5.342437112;0.2663823;3322.005127;101.8214111;0.84727;81.24918365;6.360000134;68.325;13.71603203;371.76
Ukraine;2009;4.872643245;0.2531666;2844.321234;62.30350876;0.85727;81.96871185;8.840000153;68.502;15.82157612;389.09
Ukraine;2010;4.341361518;0.2481898;2965.139715;116.3673782;0.83346;80.17552948;8.100000381;68.596;25.5559082;385.89
Ukraine;2011;;0.2455184;3138.465137;104.3105316;0.7378;82.19396973;7.849999905;68.689;24.4317627;
Ukraine;2012;5.139283719;0.2474066;3153.735454;100.3109589;0.75167;81.71401978;7.53000021;68.782;22.53000069;
Ukraine;2013;;0.2455499;3160.080518;97.9413681;0.76175;80.15564728;7.170000076;68.875;23.96000099;
Ukraine;2014;6.306591685;0.2402537;3123.900089;94.37716675;0.65034;82.67118073;9.270000458;68.968;25.38999939;
Ukraine;2015;;0.2545754;2828.885069;;0.61477;;9.140000343;69.061;26.8200016;
Ukraine;2016;;0.250022;2903.795409;;0.48339;;9.350000381;69.154;;
Ukraine;2017;6.183730571;0.2604905;2988.504215;;0.44839;;9.5;69.246;;
Uruguay;2003;5.927198953;0.474;8041.240177;74.27339935;;42.44367981;16.65999985;92.828;85.23685455;510.98
Uruguay;2004;6.021401264;0.476;8449.209088;72.6847229;;43.63362885;12.97999954;93.078;81.56660461;507.89
Uruguay;2005;5.719792197;0.463;9078.637456;70.45678711;;45.33480072;12.01000023;93.319;70.82540894;
Uruguay;2006;6.074451728;0.462;9440.50698;68.1876297;0.36539;46.05366135;10.84000015;93.553;60.08421707;
Uruguay;2007;5.822760571;0.47;10038.89509;65.79113007;0.42472;50.69181061;9.399999619;93.779;61.09999847;
Uruguay;2008;6.61632868;0.456;10732.01128;69.6182785;0.37973;50.93381119;8.029999733;93.998;62.30000305;
Uruguay;2009;6.746921195;0.448;11155.84525;73.06481934;0.41252;;7.739999771;94.209;63.5;
Uruguay;2010;6.102510871;0.438;11992.01663;74.28864288;0.34115;51.23524094;7.159999847;94.414;64.75862122;671.87
Uruguay;2011;5.906927015;0.415;12574.90357;;0.3487;;6.309999943;94.612;63.26350403;671.09
Uruguay;2012;7.901804541;0.392;12981.14011;;0.3276;;6.449999809;94.739;67.16925049;684.43
Uruguay;2013;7.670892739;0.399;13541.20711;;0.32113;59.87363052;6.440000057;94.843;63.32557297;690.82
Uruguay;2014;7.881335322;0.394;13934.57617;;0.33579;60.7204895;6.550000191;94.945;65.54181671;674.03
Uruguay;2015;8.587306086;0.394;13938.79007;;0.36446;59.6962204;7.489999771;95.045;69.36775208;680.54
Uruguay;2016;7.826785069;0.392;14124.14386;;0.40845;62.54457092;7.840000153;95.144;;
Uruguay;2017;8.263873633;0.392;14437.38469;;0.48393;63.12577057;7.889999866;95.24;;
