"country","year","hom","ineq","unemp","edu","gdp","polic","tertiary","second","unemployment_low","unemployment_medium","unemployment_high","unsent"
"Albania",2003,5.33589649200439,30.25,15,8,1890.68151855468,399.549987792968,16.73955,86.91026,0,0,1,19.133150100708
"Albania",2004,4.22887992858886,31.1000003814697,14.3999996185302,8,2416.58813476562,399.320007324218,19.99223,88.207,0,0,1,26.8418788909912
"Albania",2005,5.00133323669433,31.7000007629394,14.1381473541259,8,2709.14282226562,340.670013427734,23.31333,89.593,0,0,1,33.641975402832
"Albania",2006,3.11033749580383,31.25950050354,13.8197345733642,8,3005.01293945312,344.179992675781,26.78653,90.8,0,0,1,32.9366493225098
"Albania",2007,3.47232890129089,31.25,15.9663171768188,8,3603.013671875,322.170013427734,30.87639,92.0967,0,0,1,63.261646270752
"Albania",2008,3.10865139961242,30.3999996185302,13.5992841720581,8,4370.53955078125,323.040008544921,32.3122,91.60508,0,0,1,39.6053695678711
"Albania",2009,2.86906766891479,30.7537994384765,13.6738996505737,8,4114.13671875,315,33.63087,90.47435,0,0,1,34.8832206726074
"Albania",2010,4.31895685195922,30.2651004791259,14.8644256591796,8,4094.35888671875,333.230010986328,44.87463,94.95968,0,0,1,40.4766998291016
"Albania",2011,4.85194873809814,29.6180000305175,13.4889984130859,8,4437.17822265625,336.899993896484,50.19837,94.19111,0,0,1,39.7080917358398
"Albania",2012,5.37664031982421,29,13.3759269714355,9,4247.6142578125,337.700012207031,61.44663,93.37505,0,0,1,38.0251197814941
"Albania",2013,4.24806213378906,27.8456001281738,15.8659400939941,9,4413.08154296875,328.690002441406,68.07823,91.67738,0,0,1,39.5158042907715
"Albania",2014,4.00578594207763,26.7203006744384,17.4878597259521,9,4578.66650390625,333.079986572265,70.34586,90.80849,0,0,1,51.3974304199219
"Albania",2015,2.25768232345581,25.4356002807617,17.7999992370605,9,3952.83081054687,336.350006103515,66.40289,96.46889,0,0,1,49.2392578125
"Austria",2003,0.611557066440582,29.5,4.80000019073486,8,32222.896484375,331,56.4528,103.81988,1,0,0,25.9400005340576
"Austria",2004,0.718040645122528,30,5.5,8,36821.51953125,330.760009765625,58.6786,103.13,1,0,0,24.4839992523193
"Austria",2005,0.654255986213684,29.7999992370605,5.59999990463256,8,38403.1328125,329.220001220703,60.9044,102.743,0,1,0,23.2469863891602
"Austria",2006,0.736293911933898,28.7000007629394,5.30000019073486,8,40635.28125,321.950012207031,63.1302,102.33033,1,0,0,23.4980564117432
"Austria",2007,0.541400074958801,29.5,4.90000009536743,8,46855.7734375,320.709991455078,63.05174,101.40468,1,0,0,21.7931652069092
"Austria",2008,0.695572674274444,27.7999992370605,4.09999990463256,8,51708.765625,319.549987792968,65.9017,100.72989,1,0,0,22.829776763916
"Austria",2009,0.609316229820251,31.5,5.30000019073486,8,47963.1796875,318.410003662109,68.136,100.06401,1,0,0,22.8984851837158
"Austria",2010,0.689659357070922,30.2999992370605,4.80000019073486,8,46858.04296875,327.739990234375,75.64574,101.90101,1,0,0,21.6611824035645
"Austria",2011,0.886539101600646,38.2000007629394,4.59999990463256,9,51374.95703125,329.029998779296,78.52225,101.71398,1,0,0,20.3931198120117
"Austria",2012,0.927496969699859,30.5,4.90000009536743,9,48567.6953125,328.709991455078,78.88093,99.23123,1,0,0,20.3407154083252
"Austria",2013,0.722797572612762,30.7999992370605,5.40000009536743,9,50716.70703125,327.359985351562,78.6630799999999,97.16634,1,0,0,20.4130001068115
"Austria",2014,0.521242380142211,30.5,5.59999990463256,9,51704.54296875,327.559997558593,78.9719999999999,96.68084,0,1,0,21.0998630523682
"Austria",2015,0.53003591299057,27.2000007629394,5.69999980926513,9,44206.78515625,327.190002441406,80.56431,96.0398,0,1,0,20.7947387695312
"Belgium",2003,2.20749878883361,28.1000003814697,8.19999980926513,12,30743.90234375,348.33999633789,59.83446,92.131,0,1,0,40.9500007629395
"Belgium",2004,2.55722332000732,30.5,8.39999961853027,12,35589.6875,352.700012207031,61.02287,91.29,0,1,0,39.939998626709
"Belgium",2005,2.0954053401947,31.1000003814697,8.5,12,36967.2578125,368.429992675781,61.08548,90.3,0,1,0,37.8666687011719
"Belgium",2006,2.08106422424316,29.2999992370605,8.30000019073486,12,38852.37109375,366.470001220703,61.65359,89.60427,0,1,0,37.9200019836426
"Belgium",2007,1.97236168384552,28,7.5,12,44403.765625,361.690002441406,61.19985,86.28532,0,1,0,36.9099998474121
"Belgium",2008,1.88326132297515,28.5,7,12,48424.57421875,357.920013427734,62.08556,83.71185,0,1,0,35.9000015258789
"Belgium",2009,1.74028503894805,28.5,7.90000009536743,12,44880.57421875,367.820007324218,65.26719,84.16858,0,1,0,34.8899993896484
"Belgium",2010,1.72780430316925,28.3999996185302,8.30000019073486,12,44380.17578125,365.269989013671,67.82881,89.30755,0,1,0,35.1481857299805
"Belgium",2011,1.94314348697662,28.1000003814697,7.19999980926513,12,47702.8125,343.890014648437,69.84253,92.20604,0,1,0,33.6283187866211
"Belgium",2012,1.84958791732788,27.5,7.59999990463256,12,44740.58203125,346.079986572265,71.19468,92.56113,0,1,0,32.108455657959
"Belgium",2013,1.83831572532653,27.7000007629394,8.39999961853027,12,46582.66796875,345.480010986328,72.11816,93.75625,0,1,0,30.8499984741211
