,Country,Year,Homicide,Inequality,Compulsory education duration (years),GDP per capita (constant 2010 US$),Lower secondary completion rate total (% of relevant age group),Research and development expenditure (% of GDP),School enrollment tertiary (% gross),Unemployment total (% of total labor force) (national estimate),Urban population (% of total population),Unsentenced,Police personel
32,Belgium,2005,2.095405421,0.278,12.0,42641.69358,89.60427094,1.7823099999999998,61.08547974,8.43999958,97.40299999999999,37.866668700000005,501.16
33,Belgium,2006,2.081080399,0.263,12.0,43442.5827,89.60427094,1.8142599999999998,61.65359116,8.25,97.454,37.92000198,498.16
34,Belgium,2007,1.9724094509999999,0.275,12.0,44710.38425,86.28598785,1.8441299999999998,61.20013046,7.4600000379999996,97.505,36.90999985,448.3
35,Belgium,2008,1.88333282,0.264,12.0,44556.82522,83.71250916,1.92413,62.08623886,6.980000018999999,97.555,35.90000153,320.72
36,Belgium,2009,1.7403420680000001,0.266,12.0,43306.59602,84.16925049,1.98537,65.26769257,7.909999847000001,97.603,34.88999939,290.03
37,Belgium,2010,1.727804906,0.263,12.0,44141.87814,89.30754852,2.05081,67.82901001,8.289999962000001,97.65100000000001,35.14818573,318.45
38,Belgium,2011,1.9430063569999998,0.265,12.0,44309.63254,92.20603943,2.1553299999999997,69.8425293,7.139999866,97.698,33.62831879,348.86
39,Belgium,2012,1.849286739,0.259,12.0,44361.21009,92.55734253,2.27334,71.1920166,7.5399999620000004,97.744,32.10845566,260.15
40,Belgium,2013,1.8379043659999998,0.259,12.0,44355.37731,93.75318146,2.33393,72.11549377,8.430000305,97.789,30.84999847,462.18
41,Belgium,2014,1.871453429,0.262,12.0,44855.9702,93.93034363,2.38729,72.99739838,8.520000458,97.833,29.84000206,361.16499999999996
42,Belgium,2015,2.0375744680000003,0.263,12.0,45507.231060000006,95.04216003,2.46123,74.55976105,8.479999542,97.876,27.46043205,189.06
43,Belgium,2016,1.5324446269999998,0.261,12.0,45850.93303,94.40424347,2.55595,75.89064026,7.829999924,97.919,28.650217055,275.11249999999995
44,Belgium,2017,1.690054215,0.257,12.0,46409.13008,93.55288696,2.70234,79.66172791,7.090000152999999,97.961,28.0553245525,232.08624999999998
